,region,topic_order,importance,topic_name,top_words,abs_imp,base_rate,n_topics,r2,voxels,Color
655,12,55,0.0006834321036755439,topic59,pain painful stimulation,0.0006834321036755439,0.010756052451781814,60,0.07647660360182654,13233,0.9322033898305084
843,16,3,-0.0007966966575127401,topic11,memory events imagery,0.0007966966575127401,0.025963831903907907,60,0.21945973997967172,966,0.05084745762711865
847,16,7,0.02101741201281236,topic15,motor movement movements,0.02101741201281236,0.025963831903907907,60,0.21945973997967172,966,0.11864406779661017
856,16,16,-0.001697887114808207,topic23,social empathy moral,0.001697887114808207,0.025963831903907907,60,0.21945973997967172,966,0.2711864406779661
857,16,17,0.0025387085994839466,topic24,stimulation somatosensory tms,0.0025387085994839466,0.025963831903907907,60,0.21945973997967172,966,0.288135593220339
858,16,18,-0.0001889125427426676,topic25,network resting default,0.0001889125427426676,0.025963831903907907,60,0.21945973997967172,966,0.3050847457627119
869,16,29,-0.002132689082716331,topic35,emotional emotion negative,0.002132689082716331,0.025963831903907907,60,0.21945973997967172,966,0.4915254237288136
871,16,31,0.0007050643365533819,topic37,language speech production,0.0007050643365533819,0.025963831903907907,60,0.21945973997967172,966,0.5254237288135594
872,16,32,-0.0001685882037477969,topic38,reading word words,0.0001685882037477969,0.025963831903907907,60,0.21945973997967172,966,0.5423728813559322
879,16,39,0.0003994292875621258,topic44,inhibition control inhibitory,0.0003994292875621258,0.025963831903907907,60,0.21945973997967172,966,0.6610169491525424
880,16,40,-0.002245592983661228,topic45,volume gray voxel,0.002245592983661228,0.025963831903907907,60,0.21945973997967172,966,0.6779661016949152
886,16,46,-0.000405314638368766,topic50,fear anxiety threat,0.000405314638368766,0.025963831903907907,60,0.21945973997967172,966,0.7796610169491526
889,16,49,-0.0012677270388143187,topic53,food taste body,0.0012677270388143187,0.025963831903907907,60,0.21945973997967172,966,0.8305084745762712
893,16,53,-3.309658982322015e-05,topic57,memory performance cognitive,3.309658982322015e-05,0.025963831903907907,60,0.21945973997967172,966,0.8983050847457628
895,16,55,0.0015411890066770774,topic59,pain painful stimulation,0.0015411890066770774,0.025963831903907907,60,0.21945973997967172,966,0.9322033898305084
963,18,3,0.00022668807788753497,topic11,memory events imagery,0.00022668807788753497,0.02523098931284248,60,0.059291978985472026,917,0.05084745762711865
967,18,7,-8.23885511833119e-05,topic15,motor movement movements,8.23885511833119e-05,0.02523098931284248,60,0.059291978985472026,917,0.11864406779661017
976,18,16,-8.663533267441356e-05,topic23,social empathy moral,8.663533267441356e-05,0.02523098931284248,60,0.059291978985472026,917,0.2711864406779661
977,18,17,-0.0007748055362321848,topic24,stimulation somatosensory tms,0.0007748055362321848,0.02523098931284248,60,0.059291978985472026,917,0.288135593220339
978,18,18,0.0005216621131540821,topic25,network resting default,0.0005216621131540821,0.02523098931284248,60,0.059291978985472026,917,0.3050847457627119
989,18,29,-0.00036760206627511476,topic35,emotional emotion negative,0.00036760206627511476,0.02523098931284248,60,0.059291978985472026,917,0.4915254237288136
991,18,31,6.177958215519566e-05,topic37,language speech production,6.177958215519566e-05,0.02523098931284248,60,0.059291978985472026,917,0.5254237288135594
992,18,32,-0.0003148283870643739,topic38,reading word words,0.0003148283870643739,0.02523098931284248,60,0.059291978985472026,917,0.5423728813559322
999,18,39,0.0014665340816340001,topic44,inhibition control inhibitory,0.0014665340816340001,0.02523098931284248,60,0.059291978985472026,917,0.6610169491525424
1000,18,40,-0.0010704585155374533,topic45,volume gray voxel,0.0010704585155374533,0.02523098931284248,60,0.059291978985472026,917,0.6779661016949152
1006,18,46,0.00015681702634118234,topic50,fear anxiety threat,0.00015681702634118234,0.02523098931284248,60,0.059291978985472026,917,0.7796610169491526
1009,18,49,-0.00027720929258437843,topic53,food taste body,0.00027720929258437843,0.02523098931284248,60,0.059291978985472026,917,0.8305084745762712
1013,18,53,0.002325806250454396,topic57,memory performance cognitive,0.002325806250454396,0.02523098931284248,60,0.059291978985472026,917,0.8983050847457628
1015,18,55,0.0022901483294662734,topic59,pain painful stimulation,0.0022901483294662734,0.02523098931284248,60,0.059291978985472026,917,0.9322033898305084
